signal	files
BrakePedalPosition : 15|8@0+ (1,0) [0|255] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
BrakePedalPressed : 6|1@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
BSM_ALERT : 4|1@0+ (1,0) [0|1] "" XXX	File(s):honda_crv_ex_2017_body_generated.dbc
BSM_MODE : 6|2@0+ (1,0) [0|3] "" XXX	File(s):honda_crv_ex_2017_body_generated.dbc
CAN_RX_LAT_ACCEL : 5|9@0- (0.03125,0) [-8|7.96875] "m/s^2" Vector__XXX	File(s):ESR.dbc
CAN_RX_LONG_ACCEL : 12|9@0- (0.03125,0) [-8|7.96875] "m/s^2" Vector__XXX	File(s):ESR.dbc
CF_Clu_VehicleSpeed : 0|8@1+ (1.0,0.0) [0.0|255.0] ""  BCM	File(s):hyundai_2015_ccan.dbc, hyundai_kia_generic.dbc
CRUISE_SETTING : 43|2@0+ (1,0) [0|3] "" NEO	File(s):honda_accord_touring_2016_can.dbc
CRUISE_SPEED : 31|8@0+ (1,0) [0|255] "" BDY	File(s):acura_ilx_2016_can_generated.dbc
CRUISE_SET_SPEED : 15|8@0+ (1,0) [0|63] "mph" XXX	File(s):mercedes_benz_e350_2010.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc
CRUISE_SPEED_OFFSET : 31|8@0- (0.1,0) [-128|127] "kph" NEO	File(s):honda_accord_touring_2016_can.dbc
CR_Tcu_IsgTgtRPM : 40|8@1+ (20,0) [0|3500] "rpm" XXX	File(s):hyundai_i30_2014.dbc, hyundai_2015_ccan.dbc, hyundai_kia_generic.dbc
C_VehicleSpeed : 7|8@0+ (1,0) [0|254] ""  H_U,IBOX	File(s):hyundai_2015_mcan.dbc
C_WHEEL_FL : 0|12@0+ (1,0) [0|0] "" Vector__XXX	File(s):hyundai_2015_mcan.dbc
C_WHEEL_FR : 0|12@0+ (1,0) [0|0] "" Vector__XXX	File(s):hyundai_2015_mcan.dbc
C_WHEEL_RL : 0|12@0+ (1,0) [0|0] "" Vector__XXX	File(s):hyundai_2015_mcan.dbc
C_WHEEL_RR : 0|12@0+ (1,0) [0|0] "" Vector__XXX	File(s):hyundai_2015_mcan.dbc
ClimCtrlAftBlowModActv : 2|1@0+ (1,0) [0|1] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
ClimCtrlHVDvcShtdwnCmd : 16|1@0+ (1,0) [0|1] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
ClimCtrlVoltBstModReq : 0|1@0+ (1,0) [0|1] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
Cluster_Engine_RPM : 10|13@1+ (0.9766,0.0) [0.0|0.0] ""  CLU	File(s):hyundai_2015_ccan.dbc, hyundai_kia_generic.dbc
Coolant_Temp : 7|16@0+ (1,0) [0|0] "" Vector__XXX	File(s):gm_global_a_high_voltage_management.dbc
CruiseControlSetpointSpeed : 15|8@0+ (1,-2) [0|255] "mph" XXX	File(s):bmw_e9x_e8x.dbc
CruiseMainOn : 29|1@0+ (1,0) [0|1] "" NEO	File(s):gm_global_a_powertrain.dbc
CruiseState : 15|3@0+ (1,0) [0|7] ""  NEO	File(s):gm_global_a_powertrain.dbc
Cruise_RPM : 16|12@1+ (1,0) [0|4095] "" XXX	File(s):subaru_global_2017_generated.dbc
DI_motorRPM : 32|16@1- (1,0) [-17000|17000] "RPM"  NEO	File(s):tesla_can.dbc
DOORS_LOCKED : 55|1@0+ (1,0) [0|1] "" EON	File(s):acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc
DOORS_LOCKED1 : 16|1@0+ (1,0) [0|1] "" XXX	File(s):toyota_iQ_2009_can.dbc
